,New Castle,Sussex,Kent,Unknown
2021-04-23,801,479,329,0
2021-04-24,804,481,330,0
2021-04-25,805,481,330,0
2021-04-26,806,481,330,0
2021-04-27,806,481,330,0
2021-04-28,807,482,333,0
2021-04-29,808,483,333,0
2021-04-30,808,483,334,0
2021-05-01,809,483,334,0
2021-05-02,809,483,334,0
2021-05-03,809,483,334,0
2021-05-04,809,483,334,0
2021-05-05,809,483,336,0
2021-05-06,809,484,336,0
2021-05-07,809,484,336,0
2021-05-08,812,486,338,0
2021-05-09,812,486,338,0
2021-05-10,814,488,339,0
2021-05-11,815,489,340,0
2021-05-12,815,489,340,0
2021-05-13,817,489,342,0
2021-05-14,820,489,342,0
2021-05-15,820,489,342,0
2021-05-16,820,489,342,0
2021-05-17,820,489,342,0
2021-05-18,820,489,342,0
2021-05-19,821,489,342,0
2021-05-20,821,489,342,0
2021-05-21,822,489,343,0
2021-05-22,823,493,343,0
2021-05-23,823,493,343,0
2021-05-24,823,493,343,0
2021-05-25,824,493,343,0
2021-05-26,824,493,343,0
2021-05-27,824,493,343,0
2021-05-28,824,493,343,0
2021-05-29,824,493,344,0
2021-05-30,824,493,344,0
2021-05-31,824,493,344,0
2021-06-01,824,493,344,0
2021-06-02,827,495,344,0
2021-06-03,828,496,344,0
2021-06-04,832,497,345,0
2021-06-05,835,497,345,0
2021-06-06,835,497,345,0
2021-06-07,835,497,345,0
2021-06-08,835,497,345,0
2021-06-09,835,497,345,0
2021-06-10,836,497,346,0
2021-06-11,836,497,346,0
2021-06-12,836,497,346,0
2021-06-13,836,497,346,0
2021-06-14,836,497,346,0
2021-06-15,836,497,346,0
2021-06-16,836,497,346,0
2021-06-17,836,497,346,0
2021-06-18,836,497,346,0
2021-06-19,839,497,346,0
2021-06-20,839,497,347,0
2021-06-21,839,497,347,0
2021-06-22,845,497,349,0
2021-06-23,845,499,349,0
2021-06-24,845,499,349,0
2021-06-25,845,499,349,0
2021-06-26,846,499,349,0
2021-06-27,846,499,349,0
2021-06-28,846,499,349,0
2021-06-29,846,499,349,0
2021-06-30,846,499,349,0
2021-07-01,846,499,349,0
2021-07-02,847,499,349,0
2021-07-03,847,499,349,0
2021-07-04,847,499,349,0
2021-07-05,847,499,349,0
2021-07-06,847,499,349,0
2021-07-07,847,499,349,0
2021-07-08,847,499,349,0
2021-07-09,847,499,349,0
2021-07-10,847,499,349,0
2021-07-11,847,499,349,0
2021-07-12,847,499,349,0
2021-07-13,847,499,349,0
2021-07-14,847,500,349,0
2021-07-15,847,500,349,0
2021-07-16,847,501,349,0
2021-07-17,847,501,349,0
2021-07-18,847,501,349,0
2021-07-19,847,501,349,0
2021-07-20,847,501,349,0
2021-07-21,847,501,349,0
2021-07-22,847,501,349,0
2021-07-23,847,502,349,0
2021-07-24,847,502,349,0
2021-07-25,847,502,349,0
2021-07-26,847,502,349,0
2021-07-27,847,502,349,0
2021-07-28,847,502,349,0
2021-07-29,847,504,349,0
2021-07-30,903,545,382,0
2021-07-31,906,545,382,0
2021-08-01,906,545,382,0
2021-08-02,906,545,382,0
2021-08-03,906,545,382,0
2021-08-04,906,545,382,0
2021-08-05,906,545,382,0
2021-08-06,906,545,382,0
2021-08-07,906,546,383,0
2021-08-08,906,546,383,0
2021-08-09,906,546,383,0
