date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-12-12,816.4355522454067,230.43642477205202,1026.3578196580243,966.6202228506231,530.0693458074735,678.2462726764783,1487.2665798470525,823.2755659893247,1034.015183925632,918.5545654330144,912.9092594895326,700.3590824108971,184.84529685536234,637.8098924151191,1188.838282091219,995.9431307335258,1005.5263199962136,705.27046713957,542.8515374283485,1452.8452214231013,188.64337520433307,825.6135765839153,1608.4115929106986,1110.0161342323677,774.2056681387907,1411.552238070104,772.3910963485592,752.611312227628,711.1889652022122,814.9161216176955,435.56251810306713,1908.9257674189475,903.414462754106,1736.2292796846373,558.5576472490533,1486.3418278153856,38.88554041179788,633.6737108379986,515.7408293728798,272.58206726239814,959.817839808101,385.2856195946649,1375.0946573608571,915.3206308581254,1401.8791722258752,773.277922799544,837.178837697271,317.58005829535006,147.72725505654844,216.50115310396762,510.80978470103264,394.9239489124407,538.5467933608219,734.510880907434,556.4695215922309
2020-12-13,816.4355522454067,230.43642477205202,1028.734942673581,977.9101876657799,532.2191642249577,689.6773896316998,1487.2665798470525,824.2857200580232,1036.9156472746522,922.3153276550157,913.095967590461,706.2943288720064,186.90676856750392,641.0723471077796,1197.2675451207524,1002.8696366738152,1005.839763362796,705.27046713957,544.4050782141205,1463.7946977482939,188.64337520433307,828.3656218391951,1614.3860588965701,1110.0161342323677,789.1009786394238,1417.9683846067865,773.5283991828967,754.4559477968133,713.2282167153368,819.7476401253102,437.7403306935825,1910.9711988187312,924.1934676475616,1742.3675140086634,560.8566325918722,1486.3418278153856,38.88554041179788,634.9449567471291,521.2972927647522,273.29007263191085,969.3476189846727,387.11161779179605,1375.0946573608571,925.87075125649,1419.9242782239555,782.2493358260356,840.6442091156081,322.4706077974921,147.72725505654844,216.50115310396762,511.0414970098106,395.18351115293524,539.6617970737842,737.055963654861,556.4695215922309
2020-12-14,816.4355522454067,230.43642477205202,1028.874773439202,992.8527881564285,536.0888373764294,695.3929481093106,1509.7294910847202,824.2857200580232,1038.3658789491622,928.6761230181537,915.1497567006737,712.2295753331157,186.90676856750392,651.9471960833143,1206.4772954678351,1008.0276730123286,1024.6463653577375,717.8645826242052,548.6218317755018,1469.5914793322193,190.111417034717,832.4127472146064,1619.9337773120224,1119.5424661549769,792.2552796866166,1419.6568442217028,777.7526668532927,754.4559477968133,735.1501704814265,823.6128549314021,438.4662682237543,1913.5549016395103,934.1107199830745,1746.8226840825535,565.071439053707,1492.759538643604,38.88554041179788,639.9451906563764,523.3178249072513,275.6500905302866,973.5745371678296,390.1549481203479,1417.0127184865028,928.2152224561266,1419.9242782239555,793.5359522142027,843.4233683718982,325.52720123633094,149.2822787939858,216.50115310396762,511.38906547297756,400.24497484257876,545.2368156385961,739.601046402288,556.4695215922309
2020-12-15,820.81428997076,234.5270121940411,1038.662927032671,1001.4862906621365,543.3476360331116,715.4840021518212,1515.8305287048274,834.3872607450088,1044.1668056472022,932.3440269136859,920.097521375277,712.2295753331157,186.90676856750392,662.8220450588492,1216.8577767912418,1026.8913487646062,1045.9605142853381,717.8645826242052,554.6140605206226,1480.3262600431924,194.51554252586874,842.7733881756595,1627.7574827697113,1139.9843867389093,795.9352975750083,1435.8660565249002,805.6978222112969,761.8344900735549,746.366053803612,840.3621190911334,438.4662682237543,1923.9973672068256,947.3337230970918,1753.6044429728083,567.6577975643783,1509.4455867969718,38.88554041179788,648.6744125657403,526.8537561566246,286.2701710729774,993.7100383312311,393.8069445146101,1430.681651462257,929.1920854559752,1422.1799164737156,804.0990675518461,850.7658385058005,329.50077270682135,155.5023737437352,216.50115310396762,517.8770101187607,405.3064385322223,564.1918787589562,748.5936721098634,568.6043709727469
2020-12-16,835.5427714105845,237.25407047536717,1056.8409265633989,1020.7456424056392,553.4138446232143,726.0491253983138,1526.9233243777496,841.4583392258987,1044.1668056472022,938.0083848283052,925.418702251737,712.2295753331157,189.65539751702605,678.0468336245981,1231.6089870929252,1046.491886850957,1051.2890515172382,766.879518564407,561.2720924596457,1488.484693383532,195.98358435625263,853.1340291367126,1637.714926079497,1149.312253413131,812.0572807051054,1450.049117290198,819.3454562233455,771.0576679194817,750.4445568298612,856.4671807831827,453.7109563573616,1938.1000784369114,967.6404778793326,1758.4061262746675,577.6200673832604,1541.534140938064,38.88554041179788,659.0986290206118,537.4615499047445,299.01426772420643,1014.4603639576374,399.28493910600343,1448.906895429929,937.7884798546428,1466.1648623440367,811.7681786873954,860.4414299906624,336.83659696003446,163.27749243092197,216.50115310396762,522.2795439855421,407.3829364561786,579.2444288839482,763.35515204494,568.6043709727469
2020-12-17,846.6886492569381,239.98112875669324,1078.2350337034095,1033.3638383755201,560.3438475219283,738.6926335457558,1539.6800394016102,853.5801880502814,1051.4179640197522,942.6977303149982,931.113299330054,712.2295753331157,191.0297119917871,688.3779401513561,1247.7650745661974,1058.1343117293156,1081.6930580757273,766.879518564407,571.4810747661477,1495.1402574243355,202.58977259298027,861.0663948725188,1644.116139635788,1170.2503371180326,826.602113311606,1458.8291072877632,828.7688225649981,783.0477991191865,755.5426856126727,863.2313066938434,456.61470647804873,1946.3894583202443,993.1419838849372,1764.5938624884036,586.2412624188314,1553.0860204288572,38.88554041179788,669.014347111831,541.5026141897426,303.0262981514452,1033.0588039635275,402.6326024674105,1459.8420418105322,946.1895016533406,1467.2926814689167,836.8013150355094,869.2935668810679,344.1724212132475,163.27749243092197,216.50115310396762,527.4930709330464,411.4061511838439,597.084488291346,774.7231883167807,608.4760189372993
2020-12-18,855.0480576417034,239.98112875669324,1093.3367563904758,1042.3293986699093,568.9684131732475,748.7381605670112,1547.7223162644789,862.6715746685685,1055.7686590432822,947.1549299855183,934.3806910963015,712.2295753331157,191.71686922916763,695.9903344342306,1264.8577468205287,1070.6609714085625,1081.6930580757273,796.8330905278636,581.0242538787475,1501.5811258509193,206.25987716894005,867.3799104581605,1651.5130975230575,1176.9981555632141,837.9926448709138,1470.3106326691945,839.9793790748952,788.5817058267426,764.7193174217335,878.6921659182108,463.14814424959474,1951.126246825006,1004.9482366653098,1770.9301043712694,591.2223973282725,1580.0404059073744,38.88554041179788,675.2010772029336,545.796244992553,308.2183375278718,1050.1201828119058,405.67593279596235,1480.801072373355,951.8553070524624,1499.9994360904375,853.2971389874458,878.6260522849063,348.45165202762183,166.38753990579667,216.50115310396762,532.7065978805507,411.1465889433494,608.2345254209697,786.4305689549449,608.4760189372993
2020-12-19,873.5581762079694,241.34465789735626,1112.4935712805507,1059.5964036813255,572.8886702874836,762.0744636814362,1547.7223162644789,866.7121909433627,1058.6691223923021,950.4978297384083,938.581623367191,712.2295753331157,191.71686922916763,695.9903344342306,1274.2235946311214,1081.4191614860333,1107.395414135481,796.8330905278636,585.2410074401288,1501.5811258509193,214.33410723605158,876.121701269049,1658.1988094596281,1197.3408435229526,847.9812648536913,1482.4675418965926,850.7025200843618,796.8825658880768,767.2683818131393,887.0667979980764,471.8593946116561,1956.4013067507633,1017.6989896681121,1776.9693349158758,596.011950125812,1587.7416589012366,38.88554041179788,680.6250597485578,552.8681074912997,316.24239838234934,1065.8750596763994,408.414930091659,1480.801072373355,956.3488768517659,1522.5558185880382,861.4003507533093,886.6204239727533,350.89692677869283,167.94256364323402,216.50115310396762,537.920124828055,411.27637006359663,625.5170829718863,801.5313932563452,608.4760189372993
2020-12-20,873.5581762079694,239.98112875669324,1114.5910327648653,1074.8710619606552,575.0384887049679,765.5384385163519,1547.7223162644789,870.7528072181569,1068.8207441138723,954.9086002456938,938.7683314681194,712.2295753331157,192.40402646654815,698.1653042293375,1280.5455419032714,1091.1457442958013,1124.9482426640932,796.8330905278636,591.455170583217,1511.8865153334534,214.33410723605158,881.9495618096414,1666.733760868016,1197.3408435229526,860.2479911483304,1488.883688433275,854.9267877547578,797.8048836726695,772.3665105959509,897.374037480988,476.21501979268675,1958.662046718945,1025.2549914475505,1782.9095616810623,599.5562191959912,1587.7416589012366,38.88554041179788,681.9810553849637,558.6771374009844,316.4784001721869,1073.1761001745795,416.32758894589387,1480.801072373355,964.1637808505546,1534.9618289617185,869.2141620989634,890.2916590397044,353.03654218588,172.60763485554608,216.50115310396762,538.7311179087778,411.4061511838439,628.8620941107733,805.0945091027429,608.4760189372993
2020-12-21,873.5581762079694,239.98112875669324,1114.7308635304864,1094.1304137041577,581.2097321622168,767.6168234173012,1574.0677059876693,879.8441938364439,1076.0719024864222,960.1086665279673,940.2619962755468,718.164821794225,192.40402646654815,709.5838956536492,1290.1455359091287,1096.1564081675,1124.9482426640932,833.2539109834303,599.4448089100447,1525.8417302577184,215.06812815124354,885.6729171550198,1672.7082268538875,1205.2794534584605,864.1032479837883,1489.5590722792415,859.6384709255842,812.5619682261523,785.1118325529798,902.2055559886028,476.21501979268675,1961.7840209607198,1029.5052424484845,1789.3448073433478,602.0467866507117,1590.308743232524,38.88554041179788,688.3372849306171,560.1925365078588,318.8384180705626,1077.5567244734873,420.58825140586646,1521.8078713006173,969.438841049737,1557.518211459319,878.6196757557692,897.7027503898114,355.481816936951,172.60763485554608,216.50115310396762,539.1945425263339,413.4826491078002,629.4195959672546,806.6215587511991,608.4760189372993
2020-12-22,886.0972887851173,253.6164201633235,1137.2436167954647,1108.4088986174443,588.1397350609308,773.1591831531663,1581.5553430668917,880.8543479051425,1078.9723658354421,963.5444246073265,946.1433014547922,718.164821794225,192.40402646654815,716.10880503897,1301.6186994771047,1117.2306709219974,1145.0086181253641,833.2539109834303,607.8783160328072,1536.791206582911,222.4083373031631,893.4433978758096,1679.1094404101784,1223.8359541827097,868.3089827133788,1516.2367341949205,889.3708164518329,831.008323918006,791.7393999706347,912.1906942376734,476.21501979268675,1972.87241223323,1040.3669950064273,1796.918596468961,607.5068768399067,1596.7264540607423,38.88554041179788,699.3547494764161,565.7489998997311,326.15447355552743,1094.6949563797414,423.3272487015631,1529.097968887686,972.1740574493131,1557.518211459319,897.864803699695,904.5305614021785,359.1497290635576,174.16265859298343,216.50115310396762,545.103206400172,417.11652047472376,652.8346739394642,828.3395981959096,646.6141169903493
2020-12-23,912.9668157361484,257.7070075853126,1144.374985842135,1121.027094587325,597.7253960047724,784.7634988501336,1590.7068994970527,880.8543479051425,1089.1239875570122,969.1159241954766,951.5578363817165,718.164821794225,194.46549817868976,730.2461087071654,1314.8089351436893,1126.6625087981363,1149.7102686240996,853.3364194589295,615.6460199616674,1551.3905083498346,228.28050462469878,901.3757636116159,1690.9161231917817,1230.9807031246667,881.4519037433492,1530.7574868832014,907.8926054681846,845.7654084714889,814.1711666150056,929.2620596312456,491.45970792629413,1987.944012021108,1059.2569994550233,1804.5418874842837,614.7869970921668,1603.1441648889609,38.88554041179788,708.5924697494323,576.6093601656635,332.52652188114195,1112.0637474596222,428.50091026010125,1552.7907860456596,982.3334326477383,1566.5407644583593,913.9265270213173,913.4856301168911,365.56857528511904,181.9377772801702,216.50115310396762,551.4752948915661,421.1397352023891,665.6572166385314,840.8953397498829,646.6141169903493
2020-12-24,930.6808001705319,260.43406586663866,1160.7351854197902,1130.9888282477575,605.5912022146266,798.4461994480503,1605.9594935473208,897.0168130043194,1096.3751459295622,974.7338529468614,957.4391415609618,724.1000682553343,194.46549817868976,735.6835331949328,1324.018685490772,1139.189168477383,1171.9647476514472,853.3364194589295,616.9776263494721,1561.2665066039297,232.68463011585052,910.9269794975867,1701.7270616424064,1231.0799357488604,895.2957805615847,1538.5244011118168,914.2290069737785,846.6877262560815,816.2104181281303,942.4682102187261,500.89689581852724,1996.3410461886401,1072.9522526802555,1811.9671709407671,614.9785792040683,1626.247923870547,38.88554041179788,716.6436938405932,587.9748534672206,334.41453619984253,1134.2742811856644,433.06590575292904,1552.7907860456596,985.264021647284,1612.7813485784404,921.3062377366572,922.2348351829896,368.31950938007395,186.60284849248222,216.50115310396762,555.0668356776247,424.1247009680763,684.6122797588916,852.0937038385616,646.6141169903493
2020-12-25,931.4769343024143,260.43406586663866,1175.8369081068565,1141.6146774855522,606.09704184227,802.0833730247117,1605.9594935473208,900.0472752104151,1096.3751459295622,974.7338529468614,961.8267819327799,724.1000682553343,194.46549817868976,735.6835331949328,1338.9259932559653,1145.0840671499698,1173.531964484359,853.3364194589295,617.421495145407,1561.2665066039297,234.15267194623445,916.1072999781131,1701.7270616424064,1231.0799357488604,895.2957805615847,1540.5505526497166,915.2038379746391,846.6877262560815,812.6417279801622,947.9439311940229,500.89689581852724,2001.8314146827956,1090.425506795207,1818.649926051602,614.9785792040683,1631.3820925331217,38.88554041179788,716.6436938405932,587.9748534672206,337.7185612575686,1144.4957378831164,435.8049030486257,1552.7907860456596,985.264021647284,1612.7813485784404,921.3062377366572,927.8274643036722,368.31950938007395,186.60284849248222,216.50115310396762,558.4266641549052,424.1247009680763,695.204815032034,853.1117369375324,646.6141169903493
2020-12-26,932.4721019672673,261.7975950073017,1177.9343695911712,1142.6108508515954,612.5970810574871,805.720546601373,1605.9594935473208,904.0878914852093,1105.0765359766222,981.2339357997031,966.4011304055263,724.1000682553343,194.46549817868976,737.8585029900397,1344.3894044788108,1149.6526136212244,1173.531964484359,853.3364194589295,626.0769366661369,1561.2665066039297,234.15267194623445,919.5068852934587,1708.4127735789768,1258.2696747779744,905.2844005443623,1541.5636284186664,916.66608447593,847.6100440406742,813.1515408584434,950.5207410647507,508.88220865041677,2003.7691917983798,1094.675757796141,1825.1346736035975,629.7304018204899,1631.3820925331217,38.88554041179788,718.3386883861008,595.2992824837795,337.7185612575686,1146.2633582142546,435.8049030486257,1552.7907860456596,1001.0892022448312,1630.8264545765207,923.4767408882278,928.5136764657192,370.4591247872611,188.15787222991958,216.50115310396762,560.7437872426849,426.0714177717854,698.5498261709212,853.7904256701797,646.6141169903493
2020-12-27,933.666303165091,261.7975950073017,1178.353861888034,1156.2252201875197,614.1651839031815,807.1061365353393,1605.9594935473208,906.1081996226064,1113.7779260236823,984.8089813687661,966.7745466073831,724.1000682553343,194.46549817868976,737.8585029900397,1353.052813703609,1155.8422572274405,1173.8454078509415,853.3364194589295,631.4033622173555,1565.3457232740996,237.08875560700227,924.6872057739852,1722.6376925929567,1258.2696747779744,912.2939584270132,1555.4089972609809,918.9406901446048,852.2216329636376,813.1515408584434,955.0301583385245,513.9637713616193,2005.599314629765,1108.843261132588,1831.569919265883,631.4546408276041,1633.949176864409,38.88554041179788,721.1354293861882,598.5826472153404,338.89857020675646,1155.8699904487019,439.76123247574316,1552.7907860456596,1007.1457528438924,1630.8264545765207,933.4610553854524,930.1605856546319,371.07044347502887,197.4880146545437,216.50115310396762,562.3657734041307,426.0714177717854,699.1073280274023,855.4871475017977,646.6141169903493
2020-12-28,937.8460073574736,261.7975950073017,1184.2267540441155,1174.488398564979,620.3870113231948,813.8608874634248,1637.2966413233262,907.118353691305,1118.1286210472124,989.2661810392862,967.4280249606326,724.1000682553343,194.46549817868976,750.9083217606816,1363.9796361493004,1162.1792733004713,1173.8454078509415,867.2920609419037,637.1736565645087,1575.0070259139754,239.29081835257813,929.2199861944459,1729.465653719667,1264.6205627263805,914.5720647388747,1564.8643711045127,920.890352146326,854.9885863174156,828.445927206878,957.6069682092524,519.0453340728217,2007.8600545979468,1125.8442651363243,1837.4111422516498,632.3167603311612,1639.083345526984,38.88554041179788,726.3899124772616,601.8660119469014,339.3705737864316,1161.5571167314947,443.10889583715016,1587.4187495842366,1010.6624596433473,1630.8264545765207,944.0241707230958,934.7925177484487,373.8213775699838,200.5980621294184,216.50115310396762,563.1767664848536,428.2776968159889,704.124844735733,859.3896077145191,702.0877141584222
2020-12-29,942.8218456817386,263.16112414796476,1209.1166303246507,1196.4042126179304,631.1361034106161,824.0796132264259,1642.8430391597874,907.118353691305,1123.9295477452522,993.9555265259792,974.5229327959128,724.1000682553343,194.46549817868976,759.0644584923327,1374.1259712774424,1186.4957303248914,1194.8461134119595,867.2920609419037,644.2755572994668,1588.1034583813625,244.42896475892184,939.4187421404825,1738.0006051280548,1285.657879055476,920.8806668332605,1593.5681845580914,936.8125918270493,866.0563997325279,836.6029332593765,977.5772447073936,533.5640846762573,2021.424494407037,1135.7615174718374,1844.2424030316145,635.0947009537341,1646.784598520846,38.88554041179788,739.1871212958437,607.4224753387738,343.8546077933455,1182.691707647279,444.32622796857095,1603.8214691551416,1015.5467746425902,1630.8264545765207,961.8222965659746,943.5074122064449,378.40626772824197,202.15308586685575,216.50115310396762,570.0122795938037,445.5385858088758,715.8323837218378,874.9994485654047,702.0877141584222
2020-12-30,950.1860864016509,265.8881824292908,1220.1632608087084,1207.6941774330871,642.1886992746234,835.1643326981558,1653.9358348327096,930.3518972713719,1131.1807061178024,1000.3163218891173,980.4975920256223,724.1000682553343,194.46549817868976,766.1331103264304,1390.2820587507144,1202.5593292076903,1197.980547077783,932.9856903617574,653.1529332181642,1599.052934706555,245.1629856741138,946.703567816223,1755.0705079448308,1290.8179755135561,932.4464373396345,1603.0235584016232,949.8103385051909,876.2018953630474,841.701062042188,992.3939014640789,537.9197098572879,2040.2639941418845,1151.3457711419292,1851.9646978263572,649.4633593463525,1654.4858515147082,38.88554041179788,750.4588350234689,619.545668193768,348.81064537993456,1207.9763636883442,451.63022075709534,1619.3129265276627,1025.5107772410458,1651.1271988243614,976.4370177865499,954.5554280154007,384.8251139498034,208.37318081660516,216.50115310396762,577.4270734746987,452.41698518198103,734.7874468421979,881.4469915255531,702.0877141584222
