date,California,Colorado,Connecticut,Delaware,Hawaii,Illinois,Maine,Maryland,Massachusetts,Minnesota,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Rhode Island,Vermont,Virginia,Washington,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Montana,Nebraska,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,West Virginia,Wisconsin,Wyoming
2020-05-10,1721.144625037903,3393.829344508578,9305.191650230841,6512.463280899603,426.72464441330857,6061.420605552012,1054.054034215651,5292.506795932931,11065.991248545324,1974.9429334368879,1971.2595511068364,2229.354155157532,14913.563298673678,2296.5522908380644,16863.165242901567,761.8137775956893,10273.570024576742,1439.951980866988,2789.9320538411357,2307.6380991166966,1968.2426075462768,515.4140151706252,1554.7782829397238,1332.215848188492,1884.4668773653048,3012.25514632874,1213.6331456696896,3630.225975045715,3748.469220958453,2397.9876645744553,1439.46650521679,6800.054189173029,4675.444321517275,3208.4109602641292,1609.4459824208725,422.4215453434481,4245.721650325465,1416.0791801205205,1913.7613689747322,2041.2819311547455,1159.0277502410115,4614.027035676112,1495.186507568246,3966.5398622030593,2179.1851641768585,1373.6938165936738,1910.6765586181264,759.8750303838511,1761.0275890363264,1147.6100414145074
2020-05-11,1758.1467938000148,3428.1226953742425,9363.706147405506,6631.661461006032,428.09895888806966,6175.449802645977,1073.1385780106418,5420.3959577959295,11161.15595674885,2067.4690974878795,1981.566790589748,2293.9625953428204,15065.678802247046,2393.835813748334,16942.863285334486,775.5018814062686,10433.952171492256,1439.951980866988,2904.513790531841,2358.382517133379,2022.9768291131923,518.1410734519512,1591.2741127668005,1342.5096396376055,1902.3885343738543,3029.1522294627625,1229.401676684215,3704.0595809198635,3878.234774723551,2437.4719185262843,1489.1798103614956,6844.710876930677,4716.1296974367515,3266.831662940236,1628.780130604608,423.34386312804077,4371.64543126091,1443.4754221224462,1948.4170074471117,2100.5219905202343,1165.0893466685088,4653.990625771413,1522.3432989640369,4075.938317316422,2231.7113404448664,1406.3232048990058,1945.2160644770047,763.7775433792194,1795.3013700350102,1159.7448907950234
2020-05-12,1799.5244753412412,3481.814305315435,9521.223845961002,6809.448577096979,428.7861161254502,6491.156922594702,1084.1488917385211,5532.258503172298,11284.912752170474,2189.2601656989386,2032.7808867704648,2351.311660226391,15151.586921037951,2461.367579652065,17014.047002737305,792.7300120644115,10583.399172027166,1441.5070046044252,2989.0887832358,2385.6365523853055,2082.6868890043725,522.2316608739403,1641.0538653278709,1382.688632068016,1946.078376977598,3109.7167750133776,1247.3451774938476,3783.9354579334135,4047.1807493114434,2502.4847849469684,1554.2065889659543,6895.16434627225,4757.807399598168,3345.8515729183237,1644.8648421188082,425.1884986972261,4451.686053151051,1475.3738437540592,2016.444742226227,2140.5238617942127,1194.8921957703697,4719.315724965654,1548.7185999599485,4131.201454435543,2282.935214821932,1452.9856319181981,1972.7254054265538,768.79506008755,1829.2358066673703,1170.146190264037
2020-05-13,1851.8282928395645,3540.5286787672544,9665.984829492638,7022.591085592375,430.8475878375918,6624.308058968627,1112.0416865158156,5654.157919479689,11450.63305868334,2263.386240307972,2087.8601977572735,2394.867912036698,15239.540471228638,2533.14959655673,17119.1395145914,806.1821140851532,10784.788117869943,1444.6170520793,3098.688705287779,2399.912475612505,2129.6588027854345,522.2316608739403,1702.5794022011041,1406.5967928530538,1968.3179461669638,3161.5282730210156,1264.2011934059267,3838.168525721211,4165.348898512993,2570.5610848639153,1576.1780943647304,7026.558062174562,4793.630376932146,3407.31150290128,1684.6704413206166,426.1108164818188,4625.022431766644,1518.2882368200128,2113.993946815147,2180.35623361364,1225.4527444256676,4779.799081513735,1568.8419777568295,4209.020974052265,2352.9701165126094,1503.5594682610576,2024.6874938868132,783.2901083560608,1878.4407397842924,1192.6823391135665
2020-05-14,1895.5581286493325,3604.7854119549393,9834.87264361288,7296.342838209684,430.8475878375918,6874.610341706713,1148.7427322754133,5831.260125907689,11690.3229440689,2355.7371654118974,2127.1565482858737,2455.1207270409554,15362.696972352442,2598.792362015601,17236.161981865578,821.0502268449204,10949.726575777375,1449.2821232916122,3222.3072220208255,2447.8017089837476,2209.4712495066456,527.6857774365925,1772.2151234803541,1449.764305381594,2005.832710060508,3213.4331250791174,1278.8822395228985,3924.086673874163,4286.338038013784,2610.045338815745,1641.6487417651242,7204.111335134057,4910.9233387292725,3540.024428633709,1704.3295331713057,426.1108164818188,4797.8489975039565,1589.4609913914494,2197.424187581986,2234.2570601607804,1253.2350613850292,4853.885429305792,1599.9062211520145,4276.690121545067,2400.2870852168476,1549.7758573749195,2066.2571646550205,800.0151640504963,1942.5768250194528,1215.218487963096
2020-05-15,1947.8619461476555,3673.025716202777,10007.088296434997,7447.865948514467,431.5347450749723,7065.595588311047,1176.6355270527079,6006.743482185525,11866.569690652108,2495.4026062237162,2168.707607451361,2514.647604515041,15491.989767675595,2673.8801296987704,17372.73769557516,835.68233781485,11134.712802049247,1450.8371470290494,3321.8276586409634,2482.8426114505105,2263.6083704746493,529.0493065772555,1841.4313524627414,1481.9739108836588,2048.918973542202,3289.9834464597716,1299.000710127638,4020.4682671709556,4403.565857115587,2725.094285675385,1681.81886779723,7278.82540888243,4959.845022456839,3647.410460142391,1716.8398643490168,429.8000876201895,4978.832569293766,1646.6482517940706,2260.3177536985268,2284.513648435079,1284.5533095937644,4932.275548338883,1642.497447945413,4383.83293840867,2447.8934543412956,1612.1525429049866,2118.21925311528,807.2626881847517,2042.3440687185916,1241.2217366356304
2020-05-16,1996.3719664386535,3741.785616675852,10178.471989581647,7623.632756468017,432.2219023123528,7232.69792299837,1209.666468236346,6165.067026871618,12081.650466143483,2623.1517986350286,2193.509402457117,2581.4338572908446,15619.452440167364,2761.2464002735273,17480.899324591268,852.4384648933177,11330.634174701721,1452.3921707664867,3438.9582307282267,2509.447741101201,2323.5174638988,534.5034231399077,1906.033166179636,1520.160556581983,2080.1658003990774,3328.5386693014916,1315.3129835909403,4114.491900998713,4491.016556392066,2743.134505153376,1725.0960754008802,7338.9401808638795,5002.911981356969,3756.1472593430067,1753.7209705482433,431.6447231893749,5210.287616033411,1725.1011266177672,2371.985922109527,2328.583506618276,1322.6908537834338,5012.97125910824,1692.1220883377212,4465.035915400032,2489.422414641346,1642.3115674269498,2160.400242571255,819.5277290273376,2129.555570863757,1284.5604844231873
2020-05-17,2032.6153757593002,3794.6112329083153,10377.033032126956,7747.8817069179395,432.90905954973334,7364.67832839597,1238.2932839288324,6300.564784440389,12234.852843924047,2747.2209731579496,2233.7720566872404,2610.4713584977158,15753.482023995279,2804.221160394083,17575.002416929765,855.034484581531,11549.337102313786,1461.722313191111,3520.636819572461,2532.5487805052144,2342.8237165969485,539.9575397025598,1948.8213804596573,1580.2630163332585,2116.2412602323493,3356.451530390291,1316.400468488494,4188.178134406047,4592.258763798169,2745.517175650469,1729.534763360229,7406.56929934301,5066.222395592643,3814.567962019114,1798.4007247543548,431.6447231893749,5275.543664453399,1775.678804159784,2438.7301147229987,2366.6361341649203,1341.1282095837375,5052.704290029914,1722.4048413330272,4496.614850896673,2516.4813539309257,1675.3183724214077,2212.3623310315147,831.7927698699236,2163.9990240456023,1307.0966332727169
2020-05-18,2072.500830398979,3840.508899470947,10570.324996727626,7948.902366588952,432.90905954973334,7553.400161779411,1257.3778277238232,6456.298168886218,12383.076500049716,2869.012041369009,2273.7126096835227,2651.1238601873356,15937.032578554792,2878.8366779660378,17636.434262059738,870.1385991311358,11659.599828318202,1461.722313191111,3607.760647672977,2563.955811605054,2405.519279482688,544.0481271245488,1981.4019488493466,1598.1941369220367,2155.891765634684,3419.932284705955,1334.887711746903,4258.622173543459,4687.545547239207,2872.479474995575,1784.5744940561528,7478.27763449231,5145.509262323526,3860.4940635448397,1823.7463307767307,433.4893587585603,5416.761831737279,1831.620780835045,2478.519921857953,2411.5534896208706,1363.354063151227,5124.254486912078,1747.0217889292117,4541.727615891874,2570.888632930295,1708.256556199661,2256.988595238561,837.3677884347355,2190.807228985167,1327.8992322107442
2020-05-19,2124.0458884558366,3889.004547159766,10657.403442760065,8118.60825013031,433.59621678711386,7672.034234046917,1277.930413349198,6744.777265645539,12507.26004304176,2985.721180115146,2309.143745406031,2701.2135497691884,16041.887851364743,2924.172688642668,17709.64755694066,879.3426689348012,11801.756731266043,1467.9424081408604,3724.1960828339065,2594.0650315024204,2463.2390040441624,544.0481271245488,2036.7749320352564,1634.7204936769556,2179.1992055784453,3474.0776339751983,1346.3063031712147,4333.045269284867,4794.429735243792,2889.158168475227,1820.9717353228125,7548.912491570513,5193.537852433347,3952.3462665962916,1847.1422747973854,434.41167654315296,5529.430477837414,1893.0228476995012,2559.383078293505,2453.7588538040086,1386.3376162721536,5180.203513045499,1769.2942653257594,4607.1411251349155,2648.1585451262076,1752.5858618678935,2301.614859445607,844.0578107125096,2239.6728177357654,1345.234731325767
2020-05-20,2178.2718965392046,3943.562150809687,10820.1902192602,8277.202438915983,434.97053126187495,7860.521921235093,1335.1840447341706,6870.723807328341,12655.91044673785,3098.0493451846264,2351.6611082730415,2807.9263667044397,16191.096689264736,2993.121204880044,17782.81134993188,897.0428031726193,12170.817921611404,1467.9424081408604,3812.5943286327015,2609.8983281725873,2597.785672332289,548.1387145465379,2083.058915455802,1661.285116771442,2203.6673746030715,3562.577273815272,1362.618576634517,4419.110789904632,4973.719340928902,2948.044167903386,1850.0451414565466,7608.597872323524,5258.138290783541,4041.159242340894,1870.05080331761,440.8679010353017,5668.60939360817,1936.9909423809136,2689.020837023517,2494.777721805291,1397.1979765380859,5237.6127472785565,1792.5436047221558,4710.900484623878,2681.873694080604,1796.812235711819,2358.7731567518927,873.6054091060123,2337.913011786448,1364.303780352292
2020-05-21,2238.0368485452673,4011.456057574033,10873.158318598404,8471.152020106107,437.719160211397,8038.629127099862,1377.7572578153042,7065.471480393135,12814.376044553585,3190.925987129751,2384.837535358663,2856.5641812259487,16306.609736210401,3056.4027197828404,17885.676276749025,900.8188318100205,12366.739294263878,1477.2725505654844,3954.9815423767636,2631.961118614623,2669.8358112676465,548.1387145465379,2141.5081754853736,1812.3714106213333,2259.5680871375107,3637.9139925398913,1377.8433652002657,4520.35567460631,5068.379237636775,2985.4861328577067,1880.8940227740202,7863.656262016245,5305.769950396588,4127.27068270163,1893.9341628386949,441.7902188198944,5823.592508605641,2005.2899652738265,2861.015487219771,2556.729772443592,1434.5778211743182,5322.227963999569,1832.3996151159781,4710.900484623878,2744.9629856862553,1833.5932075975352,2407.3729924294294,893.6754759393349,2404.5941797690352,1388.5734791133239
2020-05-22,2296.5372014822215,4062.5496863890385,10992.960511865964,8615.60405193,434.28337402449444,8250.53143381452,1429.8727427939332,7210.196683817844,12928.886642616122,3331.9933395181,2425.7443920564683,2913.913246109519,16440.854628606714,3128.6569867987205,17968.74044768222,911.9109159323864,12517.097556997172,1480.3825980403592,4049.172595895008,2663.887274195451,2720.7883957081203,550.865772827864,2182.478589812322,1863.5083100782194,2295.597117807548,3709.3298411450137,1411.011654575647,4592.862928279126,5174.9499822747775,3086.579438234373,1928.166049541084,7954.043115602639,5345.165302201545,4263.022835740908,1916.6802195254425,441.7902188198944,5944.927973636556,2074.9300629500503,2973.967197796415,2609.867851445254,1477.2615626846102,5403.154233942552,1883.0011185081348,4912.780107977403,2801.974868467509,1865.4334519165134,2462.6973336724113,950.5406653004154,2505.7188009334686,1392.0405789363285
2020-05-23,2347.4752519859076,4144.99228746003,11098.89671054237,8778.238856990469,434.97053126187495,8437.06790270882,1477.5841022814104,7383.251764870433,13038.845266594186,3479.1940550537684,2502.404485710623,2968.358560872403,16482.301528023378,3208.9395057052534,18055.566762233364,917.5749588884883,12713.93019184803,1483.4926455152338,4141.741663251806,2691.6604339283667,2816.1254580010386,557.6834185311791,2242.885480560587,1917.6337296332356,2326.983232154127,3772.2504711578927,1427.8676704877262,4667.875513887791,5296.566008508734,3103.9388947131947,1955.6859148890462,7979.162502466316,5388.728424222644,4391.683458397537,1936.9891987100386,441.7902188198944,6111.636784834494,2177.4264928173952,3035.577221747312,2661.8194342650604,1505.2964461617846,5464.406121069389,1933.2118767003521,5039.095849963966,2859.9996527194958,1902.557529883253,2524.746180480839,963.9207098559638,2578.338495326719,1409.3760780513512
2020-05-24,2396.238192090727,4181.017625743152,11222.581382295455,8898.447191165596,434.97053126187495,8627.584856922625,1508.4129807194727,7595.483019557005,13182.9436962058,3606.7680085180145,2540.0903300700184,3011.9148126827095,16595.338526432464,3278.832522165059,18134.8192876589,926.7790286921536,12816.902820265377,1486.6026929901084,4199.090459674354,2723.975932869937,2881.6074903483664,557.6834185311791,2284.6948794812615,1966.4462245693542,2361.3408129477193,3826.4891744776,1440.9174892583678,4738.172180558388,5464.5716529968795,3109.3849987065505,1962.3439468280692,8006.643541086407,5419.689002971124,4475.093363374407,1968.1837907375782,441.7902188198944,6185.559652185262,2225.3220207927898,3103.604956526427,2704.4485470845757,1524.7440680333377,5506.982715132459,1972.4817692942654,5146.2386668275685,2910.7894264662473,1923.109584136559,2565.0932138735106,987.3357878281735,2642.3049083787178,1409.3760780513512
2020-05-25,2453.752157753777,4201.108679785663,11334.895938483793,9056.031225882572,434.97053126187495,8760.814042028305,1522.3593781081197,7730.657007095744,13267.724213529122,3736.7953072411888,2563.6037201404106,3046.759814130955,16696.318245011247,3318.029281395896,18198.132204597845,931.9710680685803,12816.902820265377,1495.9328354147326,4370.905136633218,2759.795522058183,2982.7165250974317,561.7740059531683,2315.73730944912,2001.9764079582299,2402.152047430919,3866.1646459248905,1448.5298835412423,4787.984074341746,5525.379666113857,3156.017264149659,1974.994207512213,8140.398908745132,5439.535527809893,4544.657899508962,1997.7536644303502,441.7902188198944,6298.228298285398,2298.6979696510944,3153.6631009865305,2752.416892722439,1538.130093477394,5560.7798556453645,1988.5023224917823,5172.178506699809,2971.129414079909,1938.2062517015918,2604.523269234531,993.4683082494664,2690.491808396669,1461.3825753964195
2020-05-26,2527.2759476317387,4252.54870608416,11454.143491967707,9158.056786821126,434.97053126187495,8857.43837194092,1548.0501101398384,7817.4273751445635,13327.753371768116,3849.8244280989343,2595.813843524509,3071.441690156795,16768.661923993062,3367.1432929622456,18249.81217745497,936.4551020754941,12949.035839031,1503.7079541019193,4558.012825971427,2795.2257678856877,3114.874790989911,567.2281225158204,2346.7797394169784,2052.117134049073,2425.7844915173223,3927.031486827557,1467.5608692484284,4842.069769662729,5641.667155115913,3183.2477841164377,2036.2481013512254,8212.536635122871,5461.763635629315,4636.847794483398,2020.6621929505745,441.7902188198944,6432.818898151622,2316.9940613376953,3108.7391251890017,2797.249498451114,1550.0007198145759,5600.512886567039,2035.0010012845748,5247.742388066771,3032.9164037946184,1975.3646402764336,2635.394862966803,1033.6084419161116,2738.6787084146204,1473.5174247769355
