,Unknown
2020-12-26,8238
2020-12-27,8239
2020-12-28,8250
2020-12-29,8262
2020-12-30,8277
2020-12-31,8286
2021-01-01,8295
2021-01-02,8295
2021-01-03,8296
2021-01-04,8313
2021-01-05,8326
2021-01-06,8347
2021-01-07,8355
2021-01-08,8368
2021-01-09,8373
2021-01-10,8381
2021-01-11,8392
2021-01-12,8398
2021-01-13,8413
2021-01-14,8426
2021-01-15,8443
2021-01-16,8450
2021-01-17,8453
2021-01-18,8454
2021-01-19,8484
2021-01-20,8484
2021-01-21,8497
2021-01-22,8516
2021-01-23,8516
2021-01-24,8516
2021-01-25,8523
2021-01-26,8535
2021-01-27,8537
2021-01-28,8541
2021-01-29,8548
2021-01-30,8555
2021-01-31,8556
2021-02-01,8577
2021-02-02,8579
2021-02-03,8587
2021-02-04,8591
2021-02-05,8605
2021-02-06,8612
2021-02-07,8618
2021-02-08,8633
2021-02-09,8642
2021-02-10,8652
2021-02-11,8655
2021-02-12,8658
2021-02-13,8661
2021-02-14,8664
2021-02-15,8668
2021-02-16,8670
2021-02-17,8672
2021-02-18,8674
2021-02-19,8684
2021-02-20,8685
2021-02-21,8689
2021-02-22,8696
2021-02-23,8696
2021-02-24,8698
2021-02-25,8699
2021-02-26,8703
2021-02-27,8704
2021-02-28,8705
2021-03-01,8706
2021-03-02,8711
2021-03-03,8714
2021-03-04,8716
2021-03-05,8716
2021-03-06,8718
2021-03-07,8718
2021-03-08,8720
2021-03-09,8721
2021-03-10,8725
2021-03-11,8727
2021-03-12,8736
2021-03-13,8737
2021-03-14,8737
2021-03-15,8742
2021-03-16,8742
2021-03-17,8745
2021-03-18,8749
2021-03-19,8749
2021-03-20,8749
2021-03-21,8749
2021-03-22,8753
2021-03-23,8755
2021-03-24,8758
2021-03-25,8763
2021-03-26,8765
2021-03-27,8766
2021-03-28,8769
2021-03-29,8773
2021-03-30,8774
2021-03-31,8776
2021-04-01,8779
2021-04-02,8781
2021-04-03,8785
2021-04-04,8785
2021-04-05,8792
2021-04-06,8794
2021-04-07,8797
2021-04-08,8799
2021-04-09,8802
2021-04-10,8804
2021-04-11,8806
2021-04-12,8811
2021-04-13,8816
2021-04-14,8820
2021-04-15,8825
2021-04-16,8828
2021-04-17,8834
2021-04-18,8838
2021-04-19,8848
2021-04-20,8853
2021-04-21,8866
2021-04-22,8878
2021-04-23,8880
2021-04-24,8880
2021-04-25,8884
2021-04-26,8892
2021-04-27,8908
2021-04-28,8920
2021-04-29,8928
2021-04-30,8933
2021-05-01,8944
2021-05-02,8944
2021-05-03,8950
2021-05-04,8973
2021-05-05,8985
2021-05-06,8989
2021-05-07,8992
2021-05-08,9003
2021-05-09,9005
2021-05-10,9012
2021-05-11,9013
2021-05-12,9030
2021-05-13,9032
2021-05-14,9048
2021-05-15,9059
2021-05-16,9060
2021-05-17,9072
2021-05-18,9078
2021-05-19,9087
2021-05-20,9093
2021-05-21,9100
2021-05-22,9101
2021-05-23,9103
2021-05-24,9105
2021-05-25,9110
2021-05-26,9112
2021-05-27,9123
2021-05-28,9125
2021-05-29,9125
2021-05-30,9125
2021-05-31,9125
2021-06-01,9142
2021-06-02,9156
2021-06-03,9162
2021-06-04,9173
2021-06-05,9173
2021-06-06,9173
2021-06-07,9179
2021-06-08,9184
2021-06-09,9193
2021-06-10,9199
2021-06-11,9205
2021-06-12,9205
2021-06-13,9205
2021-06-14,9213
2021-06-15,9220
2021-06-16,9230
2021-06-17,9235
2021-06-18,9236
2021-06-19,9236
2021-06-20,9236
2021-06-21,9253
2021-06-22,9273
2021-06-23,9279
2021-06-24,9285
2021-06-25,9297
2021-06-26,9297
2021-06-27,9297
2021-06-28,9313
2021-06-29,9317
2021-06-30,9326
2021-07-01,9335
2021-07-02,9342
2021-07-03,9342
2021-07-04,9342
2021-07-05,9342
2021-07-06,9363
2021-07-07,9377
2021-07-08,9392
2021-07-09,9400
2021-07-10,9400
2021-07-11,9400
2021-07-12,9423
2021-07-13,9436
2021-07-14,9440
2021-07-15,9442
2021-07-16,9446
2021-07-17,9446
2021-07-18,9446
2021-07-19,9447
2021-07-20,9455
2021-07-21,9455
2021-07-22,9469
2021-07-23,9470
2021-07-24,9470
2021-07-25,9470
2021-07-26,9475
2021-07-27,9483
2021-07-28,9491
2021-07-29,9498
2021-07-30,9510
2021-07-31,9510
2021-08-01,9510
2021-08-02,9533
2021-08-03,9562
2021-08-04,9592
2021-08-05,9621
2021-08-06,9642
2021-08-07,9642
2021-08-08,9642
2021-08-09,9694
2021-08-10,9738
2021-08-11,9786
2021-08-12,9834
2021-08-13,9880
2021-08-14,9880
2021-08-15,9880
2021-08-16,9987
2021-08-17,10050
2021-08-18,10087
2021-08-19,10169
