,District of Columbia
2021-06-08,49119
2021-06-09,49127
2021-06-10,49151
2021-06-11,49158
2021-06-12,49158
2021-06-13,49158
2021-06-14,49179
2021-06-15,49213
2021-06-16,49223
2021-06-17,49232
2021-06-18,49243
2021-06-19,49243
2021-06-20,49243
2021-06-21,49248
2021-06-22,49275
2021-06-23,49284
2021-06-24,49297
2021-06-25,49305
2021-06-26,49305
2021-06-27,49305
2021-06-28,49315
2021-06-29,49347
2021-06-30,49335
2021-07-01,49362
2021-07-02,49378
2021-07-03,49378
2021-07-04,49378
2021-07-05,49378
2021-07-06,49417
2021-07-07,49423
2021-07-08,49434
2021-07-09,49455
2021-07-10,49455
2021-07-11,49455
2021-07-12,49526
2021-07-13,49536
2021-07-14,49574
2021-07-15,49615
2021-07-16,49652
2021-07-17,49652
2021-07-18,49652
2021-07-19,49793
2021-07-20,49827
2021-07-21,49858
2021-07-22,49930
2021-07-23,49973
2021-07-24,49973
2021-07-25,49973
2021-07-26,50160
2021-07-27,50160
2021-07-28,50268
2021-07-29,50329
2021-07-30,50398
2021-07-31,50398
2021-08-01,50398
2021-08-02,50716
2021-08-03,50800
2021-08-04,50858
2021-08-05,50975
2021-08-06,51103
2021-08-07,51103
2021-08-08,51103
2021-08-09,51589
