,Suffolk,Norfolk,Middlesex,Berkshire,Worcester,Essex,Barnstable,Bristol,Hampden,Plymouth,Unknown,Franklin,Hampshire,Nantucket,Dukes
2020-05-07,14732,6729,16676,464,7197,10610,1021,4529,4441,6081,328,285,595,11,22
2020-05-08,14944,6801,17014,472,7410,10995,1038,4670,4522,6194,297,289,654,11,22
2020-05-09,15119,6887,17307,472,7611,11211,1056,4847,4647,6311,288,294,659,11,23
2020-05-10,15279,6952,17589,475,7743,11353,1068,4931,4714,6382,303,294,676,11,23
2020-05-11,15356,7004,17774,478,7818,11432,1075,4999,4763,6457,287,296,688,12,23
2020-05-12,15454,7046,17953,485,7959,11572,1093,5125,4831,6507,273,297,702,12,23
2020-05-13,15587,7129,18201,486,8241,11703,1111,5249,4889,6592,264,302,708,12,23
2020-05-14,15881,7258,18381,488,8555,11950,1119,5440,4974,6774,300,302,724,12,24
2020-05-15,15996,7331,18683,491,8786,12131,1137,5590,5038,6875,285,304,738,12,24
2020-05-16,16346,7412,18883,495,9067,12314,1147,5748,5133,6987,309,304,751,12,25
2020-05-17,16479,7474,19129,497,9252,12462,1150,5870,5205,7064,315,308,767,12,26
2020-05-18,16671,7524,19345,497,9442,12587,1155,5996,5264,7139,312,308,774,12,26
2020-05-19,16825,7565,19504,497,9582,12748,1177,6080,5335,7198,288,308,780,12,26
2020-05-20,16962,7607,19708,500,9780,12920,1197,6165,5418,7280,294,309,792,12,26
2020-05-21,17089,7691,19930,509,9997,13063,1202,6286,5492,7366,304,310,806,13,26
2020-05-22,17180,7724,20085,510,10101,13221,1257,6362,5568,7424,296,310,812,13,26
2020-05-23,17291,7759,20232,515,10251,13334,1264,6426,5621,7480,319,312,819,13,26
2020-05-24,17417,7812,20437,520,10431,13457,1269,6596,5687,7559,308,313,830,13,26
2020-05-25,17480,7844,20539,523,10505,13575,1277,6681,5755,7594,311,314,834,13,26
2020-05-26,17533,7863,20601,537,10557,13670,1280,6733,5796,7632,297,315,840,13,26
2020-05-27,17596,7880,20706,539,10647,13778,1286,6779,5845,7656,309,317,843,13,26
2020-05-28,17698,7919,20857,539,10713,13899,1295,6852,5878,7724,318,319,845,13,26
2020-05-29,17786,7959,20972,544,10816,13994,1303,6930,5942,7766,289,319,853,13,26
