,Unknown,St. Croix,St. John,St. Thomas
2020-08-12,,305,20,314
2020-08-13,,319,22,363
2020-08-14,,326,23,385
2020-08-15,,326,23,385
2020-08-16,,325,23,393
2020-08-17,,325,23,412
2020-08-18,,335,23,438
2020-08-19,,343,25,460
2020-08-20,,359,27,483
2020-08-21,,380,32,548
2020-08-22,,380,32,548
2020-08-23,,387,32,565
2020-08-24,,394,32,572
2020-08-25,,398,34,598
2020-08-26,,398,34,598
2020-08-27,,413,35,627
2020-08-28,,413,35,627
2020-08-29,,421,37,671
2020-08-30,,422,37,675
2020-08-31,,422,37,680
2020-09-01,,423,37,683
2020-09-02,,423,37,684
2020-09-03,,425,40,685
2020-09-04,,425,40,685
2020-09-05,,428,43,696
2020-09-06,,430,43,708
2020-09-07,,435,44,711
2020-09-08,,435,44,712
2020-09-09,,436,43,718
2020-09-10,,437,43,721
2020-09-11,,437,43,721
2020-09-12,,441,44,735
2020-09-13,,441,44,735
2020-09-14,,441,44,736
2020-09-15,,443,45,744
2020-09-16,,443,45,744
2020-09-17,,444,45,749
2020-09-18,,458,45,754
2020-09-19,,458,45,754
2020-09-20,,460,53,756
2020-09-21,,460,53,756
2020-09-22,,465,57,756
2020-09-23,,475,57,758
2020-09-24,,475,57,758
2020-09-25,,481,57,758
2020-09-26,,495,60,762
2020-09-27,,495,60,762
2020-09-28,,494,60,764
2020-09-29,,494,60,764
2020-09-30,,494,60,764
2020-10-01,,496,64,766
2020-10-02,,496,64,766
2020-10-03,,495,64,768
2020-10-04,,495,64,768
2020-10-05,,489,64,769
2020-10-06,,488,64,769
2020-10-07,,488,64,770
2020-10-08,,489,65,770
2020-10-09,,489,65,770
2020-10-10,,489,65,771
2020-10-11,,489,65,771
2020-10-12,,489,65,771
2020-10-13,,491,65,772
2020-10-14,,491,65,772
2020-10-15,,491,66,772
2020-10-16,,491,66,772
2020-10-17,,496,66,773
2020-10-18,,496,66,773
2020-10-19,,496,66,773
2020-10-20,,496,66,775
2020-10-21,,496,66,775
2020-10-22,,500,67,776
2020-10-23,,502,67,777
2020-10-24,,502,67,777
2020-10-25,,502,67,777
2020-10-26,,502,67,779
2020-10-27,,504,67,780
2020-10-28,,504,67,782
2020-10-29,,504,67,782
2020-10-30,,506,68,788
2020-10-31,,512,68,796
2020-11-01,,512,68,796
2020-11-02,,512,68,796
2020-11-03,,519,68,798
2020-11-04,,521,68,799
2020-11-05,,521,68,799
2020-11-06,,521,68,801
2020-11-07,,533,69,803
2020-11-08,,533,69,803
2020-11-09,,533,69,803
2020-11-10,,540,69,804
2020-11-11,,540,69,804
2020-11-12,,540,69,804
2020-11-13,,546,69,811
2020-11-14,,549,73,812
2020-11-15,,549,73,812
2020-11-16,,549,73,812
2020-11-17,,558,73,819
2020-11-18,,565,75,823
2020-11-19,,568,75,826
2020-11-20,,572,75,835
2020-11-21,,574,77,840
2020-11-22,,577,78,849
2020-11-23,,578,79,850
2020-11-24,,585,79,857
2020-11-25,,585,79,857
2020-11-26,,585,79,857
2020-11-27,,585,79,857
