,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2021-02-12,21712,181,2539,2239,,1
2021-02-13,21758,181,2548,2241,,1
2021-02-14,21794,181,2552,2244,,1
2021-02-15,21817,181,2560,2244,,1
2021-02-16,21830,181,2563,2244,,1
2021-02-17,21847,181,2572,2245,,1
2021-02-18,21892,182,2579,2252,,1
2021-02-19,21928,182,2595,2256,,1
2021-02-20,21963,182,2607,2258,,1
2021-02-21,21995,182,2635,2262,,1
2021-02-22,22014,183,2662,2264,,1
2021-02-23,22041,183,2679,2264,,1
2021-02-24,22057,184,2703,2266,,1
2021-02-25,22081,184,2714,2267,,1
2021-02-26,22126,185,2740,2268,,1
2021-02-27,22147,185,2815,2271,,1
2021-02-28,22183,185,2829,2275,,1
2021-03-01,22200,185,2837,2276,,1
2021-03-02,22218,184,2850,2279,,1
2021-03-03,22225,185,2859,2279,,1
2021-03-04,22260,186,2874,2283,,1
2021-03-05,22311,186,2906,2289,,1
2021-03-06,22342,186,2948,2297,,1
2021-03-07,22367,188,2960,2305,,1
2021-03-08,22387,188,2971,2315,,1
2021-03-09,22403,188,2989,2322,,1
2021-03-10,22430,188,2998,2327,,1
2021-03-11,22458,188,3016,2335,,1
2021-03-12,22553,188,3060,2354,,1
2021-03-13,22586,188,3082,2361,,1
2021-03-14,22614,188,3100,2365,,1
2021-03-15,22636,188,3115,2372,,1
2021-03-16,22665,189,3122,2380,,1
2021-03-17,22703,189,3146,2384,,1
2021-03-18,22742,188,3187,2391,,1
2021-03-19,22829,188,3260,2400,,1
2021-03-20,22883,188,3282,2409,,1
2021-03-21,22924,188,3307,2414,,1
2021-03-22,22971,189,3328,2423,,1
2021-03-23,22999,189,3337,2424,,1
2021-03-24,23023,190,3360,2431,,1
2021-03-25,23106,190,3380,2443,,1
2021-03-26,23204,191,3470,2456,,1
2021-03-27,23263,192,3500,2470,,1
2021-03-28,23324,192,3526,2485,,1
2021-03-29,23376,192,3562,2495,,1
2021-03-30,23421,193,3573,2501,,1
2021-03-31,23463,194,3604,2517,,1
2021-04-01,23534,194,3634,2525,,1
2021-04-02,23667,198,3730,2544,,1
2021-04-03,23739,199,3754,2553,,1
2021-04-04,23790,199,3780,2568,,1
2021-04-05,23842,199,3803,2582,,1
2021-04-06,23871,199,3824,2584,,1
